,Year,County,NIB_PROPTOT,NIB_ARSON,NIB_BRIBERY,NIB_BURGLARY,JRN_ARSON,JRN_BURGLARY,Total Population,Total Crime,Crime %
22,2012,ADAMS,1417,10,0,182,0,0,19050,1609,8.45
23,2013,ADAMS,1472,7,0,199,2,5,19200,1685,8.78
24,2014,ADAMS,1402,10,0,190,0,7,19400,1609,8.29
25,2015,ADAMS,1128,8,0,189,0,7,19410,1332,6.86
26,2016,ADAMS,876,1,0,144,0,16,19510,1037,5.32
49,2012,ASOTIN,974,1,0,91,0,0,21700,1066,4.91
50,2013,ASOTIN,1082,1,0,130,1,5,21800,1219,5.59
51,2014,ASOTIN,958,4,1,134,0,0,21950,1097,5
52,2015,ASOTIN,1081,4,0,86,2,0,22010,1173,5.33
53,2016,ASOTIN,1081,2,0,114,1,4,22150,1202,5.43
76,2012,BENTON,7507,34,0,851,0,0,180000,8392,4.66
77,2013,BENTON,7320,27,2,839,4,34,183400,8226,4.49
78,2014,BENTON,7125,27,0,906,6,64,186500,8128,4.36
79,2015,BENTON,6872,38,0,750,6,69,188590,7735,4.1
80,2016,BENTON,7162,45,0,702,0,41,190500,7950,4.17
103,2012,CHELAN,872,0,0,179,0,0,73200,1051,1.44
104,2013,CHELAN,2408,9,0,297,1,7,73600,2722,3.7
105,2014,CHELAN,2014,5,1,350,0,7,74300,2377,3.2
106,2015,CHELAN,2289,6,1,372,3,20,75030,2691,3.59
107,2016,CHELAN,2338,7,0,364,0,7,75910,2716,3.58
130,2012,CLALLAM,3552,7,1,642,0,0,72000,4202,5.84
131,2013,CLALLAM,3431,6,0,575,0,13,72350,4025,5.56
132,2014,CLALLAM,3102,11,0,521,1,7,72500,3642,5.02
133,2015,CLALLAM,3392,10,0,532,0,3,72650,3937,5.42
134,2016,CLALLAM,2820,11,0,445,2,6,73410,3284,4.47
157,2012,CLARK,15708,100,0,2462,0,0,431250,18270,4.24
158,2013,CLARK,13902,78,0,2129,2,38,435500,16149,3.71
159,2013,GARFIELD,72,0,0,7,0,0,2250,79,3.51
160,2014,CLARK,12745,96,0,1806,8,43,442800,14698,3.32
161,2015,CLARK,15074,120,1,1878,2,45,451820,17120,3.79
162,2016,CLARK,14697,82,0,1739,3,29,461010,16550,3.59
185,2012,COLUMBIA,221,0,0,47,0,0,4100,268,6.54
186,2013,COLUMBIA,249,1,0,51,0,0,4100,301,7.34
187,2014,COLUMBIA,127,0,0,38,0,0,4080,165,4.04
188,2015,COLUMBIA,80,1,0,28,0,0,4090,109,2.67
189,2016,COLUMBIA,183,1,0,20,0,0,4050,204,5.04
212,2012,COWLITZ,5611,51,0,853,0,0,103050,6515,6.32
213,2013,COWLITZ,6059,21,1,898,0,15,103300,6994,6.77
214,2014,COWLITZ,5350,22,0,811,4,26,103700,6213,5.99
215,2015,COWLITZ,4841,29,0,647,3,10,104280,5530,5.3
216,2016,COWLITZ,5005,33,0,719,4,17,104850,5778,5.51
240,2012,DOUGLAS,1147,4,0,245,0,0,38900,1396,3.59
241,2013,DOUGLAS,1205,0,0,197,0,5,39280,1407,3.58
242,2014,DOUGLAS,1133,6,0,169,0,0,39700,1308,3.29
243,2015,DOUGLAS,1194,5,0,173,0,4,39990,1376,3.44
244,2016,DOUGLAS,1191,3,0,140,0,6,40720,1340,3.29
261,2012,GARFIELD,76,1,0,16,0,0,2250,93,4.13
268,2012,FERRY,58,1,0,14,0,0,7650,73,0.95
269,2013,FERRY,68,0,0,28,0,1,7650,97,1.27
270,2014,FERRY,51,1,0,17,0,0,7660,69,0.9
271,2015,FERRY,44,0,0,15,0,1,7710,60,0.78
272,2016,FERRY,10,1,0,5,0,0,7700,16,0.21
295,2012,FRANKLIN,3245,11,0,520,0,0,82500,3776,4.58
296,2013,FRANKLIN,3131,23,0,446,1,26,84800,3627,4.28
297,2014,FRANKLIN,2735,23,1,352,0,11,86600,3122,3.61
298,2015,FRANKLIN,2819,37,0,370,3,15,87150,3244,3.72
299,2016,FRANKLIN,3118,25,0,380,0,10,88670,3533,3.98
321,2014,GARFIELD,58,0,0,9,0,0,2240,67,2.99
322,2015,GARFIELD,72,1,0,9,0,0,2260,82,3.63
323,2016,GARFIELD,88,1,0,31,0,0,2200,120,5.45
346,2012,GRANT,5288,24,1,910,0,0,91000,6223,6.84
347,2013,GRANT,5615,20,0,1029,2,32,91800,6698,7.3
348,2014,GRANT,5130,25,0,880,1,17,92900,6053,6.52
349,2015,GRANT,5271,26,1,938,0,38,93930,6274,6.68
350,2016,GRANT,5062,12,0,935,4,12,94610,6025,6.37
373,2012,GRAYS HARBOR,2164,8,0,436,0,0,73150,2608,3.57
374,2013,GRAYS HARBOR,3046,9,1,670,0,27,73200,3753,5.13
375,2014,GRAYS HARBOR,2692,9,0,552,0,10,73300,3263,4.45
376,2015,GRAYS HARBOR,2800,6,1,604,1,5,73110,3417,4.67
377,2016,GRAYS HARBOR,2483,16,0,418,0,7,72820,2924,4.02
400,2012,ISLAND,2332,9,0,493,0,0,79350,2834,3.57
401,2013,ISLAND,2084,4,0,431,2,6,79700,2527,3.17
402,2014,ISLAND,1778,3,0,366,0,0,80000,2147,2.68
403,2015,ISLAND,1342,3,0,262,0,3,80600,1610,2
404,2016,ISLAND,1378,3,0,268,0,3,82910,1652,1.99
427,2012,JEFFERSON,1101,12,1,199,0,0,30175,1313,4.35
428,2013,JEFFERSON,971,3,0,158,0,2,30275,1134,3.75
429,2014,JEFFERSON,1112,5,0,251,0,2,30700,1370,4.46
430,2015,JEFFERSON,833,4,0,184,1,3,30880,1025,3.32
431,2016,JEFFERSON,774,3,0,135,0,2,31090,914,2.94
455,2012,KING,72061,134,0,9623,0,0,1957000,81818,4.18
456,2013,KING,86528,155,0,11212,6,199,1981900,98100,4.95
457,2014,KING,105971,185,0,12289,0,152,2017250,118597,5.88
458,2015,KING,107549,219,1,13708,3,111,2052800,121591,5.92
459,2016,KING,112429,234,3,13547,4,84,2105100,126301,6
481,2012,KITSAP,11441,41,0,2044,0,0,254500,13526,5.31
482,2013,KITSAP,10517,41,0,1884,2,11,254000,12455,4.9
483,2014,KITSAP,10260,35,1,1625,1,16,255900,11938,4.67
484,2015,KITSAP,9813,29,0,1428,0,24,258200,11294,4.37
485,2016,KITSAP,9744,28,1,1449,0,7,262590,11229,4.28
509,2012,KITTITAS,2228,13,0,264,0,0,41500,2505,6.04
510,2013,KITTITAS,2134,4,1,334,0,4,41900,2477,5.91
511,2014,KITTITAS,1839,7,0,219,0,3,42100,2068,4.91
512,2015,KITTITAS,1658,4,0,204,0,1,42670,1867,4.38
513,2016,KITTITAS,1540,3,0,156,0,0,43710,1699,3.89
536,2012,KLICKITAT,486,0,0,91,0,0,20600,577,2.8
537,2013,KLICKITAT,466,0,0,107,0,0,20700,573,2.77
538,2014,KLICKITAT,411,2,0,81,0,5,20850,499,2.39
539,2015,KLICKITAT,548,7,0,120,0,0,21000,675,3.21
540,2016,KLICKITAT,337,0,0,66,0,0,21270,403,1.89
563,2012,LEWIS,2980,12,0,555,0,0,76300,3547,4.65
564,2013,LEWIS,2533,14,0,480,4,6,76200,3037,3.99
565,2014,LEWIS,2836,13,0,486,2,10,76300,3347,4.39
566,2015,LEWIS,2881,8,0,437,0,10,76660,3336,4.35
567,2016,LEWIS,3222,10,0,441,0,7,76890,3680,4.79
590,2012,LINCOLN,284,2,0,59,0,0,10675,345,3.23
591,2013,LINCOLN,218,1,0,52,0,4,10675,275,2.58
592,2014,LINCOLN,220,0,0,53,0,0,10700,273,2.55
593,2015,LINCOLN,221,1,1,39,0,1,10720,263,2.45
594,2016,LINCOLN,231,2,0,59,1,0,10640,293,2.75
617,2012,MASON,3574,12,0,909,0,0,61450,4495,7.31
618,2013,MASON,2993,3,0,692,1,1,61800,3690,5.97
619,2014,MASON,2871,9,0,677,3,0,62000,3560,5.74
620,2015,MASON,2562,11,0,568,0,0,62200,3141,5.05
621,2016,MASON,2248,4,0,420,1,1,62320,2674,4.29
644,2012,OKANOGAN,1150,5,0,261,0,0,41425,1416,3.42
645,2013,OKANOGAN,1291,4,0,281,0,1,41500,1577,3.8
646,2014,OKANOGAN,1230,2,0,301,0,0,41700,1533,3.68
647,2015,OKANOGAN,1053,2,0,246,0,0,41860,1301,3.11
648,2016,OKANOGAN,831,4,0,189,0,1,41730,1025,2.46
671,2012,PACIFIC,557,0,0,179,0,0,20970,736,3.51
672,2013,PACIFIC,550,2,0,185,0,1,21000,738,3.51
673,2014,PACIFIC,471,1,0,154,0,0,21100,626,2.97
674,2015,PACIFIC,376,1,0,124,1,0,21210,502,2.37
675,2016,PACIFIC,335,0,0,89,0,0,21180,424,2
698,2012,PEND OREILLE,626,0,0,142,0,0,13100,768,5.86
699,2013,PEND OREILLE,660,2,0,142,0,0,13150,804,6.11
700,2014,PEND OREILLE,509,2,0,135,0,0,13210,646,4.89
701,2015,PEND OREILLE,412,1,0,108,0,0,13240,521,3.94
702,2016,PEND OREILLE,336,2,0,72,0,1,13290,411,3.09
725,2012,PIERCE,53278,164,1,8721,0,0,808200,62164,7.69
726,2013,PIERCE,53478,202,0,7974,11,112,814500,61777,7.58
727,2014,PIERCE,51110,162,0,8382,8,119,821300,59781,7.28
728,2015,PIERCE,50923,164,2,7276,9,99,830120,58473,7.04
729,2016,PIERCE,54129,174,2,6903,4,78,844490,61290,7.26
752,2012,SAN JUAN,294,0,0,70,0,0,15925,364,2.29
753,2013,SAN JUAN,266,2,0,69,0,0,16000,337,2.11
754,2014,SAN JUAN,205,1,0,39,0,0,16100,245,1.52
755,2015,SAN JUAN,274,1,0,53,0,1,16180,329,2.03
756,2016,SAN JUAN,221,3,0,36,0,0,16320,260,1.59
779,2012,SKAGIT,7392,29,0,1257,0,0,117950,8678,7.36
780,2013,SKAGIT,7453,27,2,1143,4,21,118600,8650,7.29
781,2014,SKAGIT,6501,20,0,982,2,15,119500,7520,6.29
782,2015,SKAGIT,7448,16,0,964,7,19,120620,8454,7.01
784,2016,SKAGIT,6742,8,0,858,1,10,122270,7619,6.23
805,2012,SKAMANIA,176,0,0,37,0,0,11275,213,1.89
806,2013,SKAMANIA,148,0,0,27,0,0,11300,175,1.55
807,2014,SKAMANIA,149,1,0,26,0,1,11370,177,1.56
808,2015,SKAMANIA,163,1,0,34,0,0,11430,198,1.73
809,2016,SKAMANIA,92,0,0,21,0,1,11500,114,0.99
833,2012,SNOHOMISH,2753,21,1,441,0,0,722900,3216,0.44
834,2013,SNOHOMISH,4001,14,0,552,1,7,730500,4575,0.63
835,2014,SNOHOMISH,4630,15,0,511,1,2,741000,5159,0.7
836,2015,SNOHOMISH,9153,24,0,1102,2,9,757600,10290,1.36
837,2016,SNOHOMISH,33434,97,1,4208,1,48,772860,37789,4.89
859,2012,SPOKANE,1169,2,0,182,0,0,475600,1353,0.28
860,2013,SPOKANE,1116,1,0,171,0,0,480000,1288,0.27
861,2014,SPOKANE,1108,1,0,144,0,0,484500,1253,0.26
862,2015,SPOKANE,1167,1,1,165,0,0,488310,1334,0.27
863,2016,SPOKANE,13811,13,0,1650,0,18,492530,15492,3.15
886,2012,STATE,240756,776,6,37859,0,0,6817770,279397,4.1
887,2013,STATE,257356,758,8,38490,46,690,6882400,297348,4.32
888,2014,STATE,278057,839,4,39755,47,629,6968170,319331,4.58
889,2015,STATE,285775,924,10,39686,48,604,7061410,327047,4.63
890,2016,STATE,329534,954,8,42553,28,463,7183700,373540,5.2
913,2012,STEVENS,1225,1,0,304,0,0,43700,1530,3.5
914,2013,STEVENS,1043,2,0,277,0,1,43800,1323,3.02
915,2014,STEVENS,1178,1,0,297,0,2,43900,1478,3.37
916,2015,STEVENS,1105,0,0,311,0,0,44030,1416,3.22
917,2016,STEVENS,1002,2,0,295,0,1,44100,1300,2.95
940,2012,THURSTON,4716,22,0,1227,0,0,256800,5965,2.32
941,2013,THURSTON,4049,12,0,1145,1,14,260100,5221,2.01
942,2014,THURSTON,10978,31,0,1878,1,33,264000,12921,4.89
943,2015,THURSTON,11879,38,0,1765,4,28,267410,13714,5.13
944,2016,THURSTON,12170,20,0,1604,0,6,272690,13800,5.06
967,2012,WAHKIAKUM,24,0,0,7,0,0,4025,31,0.77
968,2013,WAHKIAKUM,35,0,0,9,0,0,4020,44,1.09
969,2014,WAHKIAKUM,53,0,0,15,0,0,4010,68,1.7
970,2015,WAHKIAKUM,81,0,0,23,0,3,3980,107,2.69
971,2016,WAHKIAKUM,68,0,0,14,0,0,4000,82,2.05
994,2012,WALLA WALLA,953,4,0,176,0,0,59100,1133,1.92
995,2013,WALLA WALLA,3179,15,0,409,0,8,59500,3611,6.07
996,2014,WALLA WALLA,3199,23,0,408,0,13,60150,3643,6.06
997,2015,WALLA WALLA,3183,30,0,377,1,12,60650,3603,5.94
998,2016,WALLA WALLA,3221,20,0,355,1,3,60730,3600,5.93
1021,2012,WHATCOM,8440,13,0,869,0,0,203500,9322,4.58
1022,2013,WHATCOM,8478,11,0,862,0,20,205800,9371,4.55
1023,2014,WHATCOM,11195,22,0,1410,1,16,207600,12644,6.09
1024,2015,WHATCOM,10165,16,0,1147,0,21,209790,11349,5.41
1025,2016,WHATCOM,10902,32,1,1388,0,14,212540,12337,5.8
1048,2012,WHITMAN,1505,7,0,172,0,0,45950,1684,3.66
1049,2013,WHITMAN,1225,0,0,161,0,2,46000,1388,3.02
1050,2014,WHITMAN,1360,6,0,189,1,11,46500,1567,3.37
1051,2015,WHITMAN,1086,4,1,173,0,5,47250,1269,2.69
1052,2016,WHITMAN,784,2,0,123,0,4,47940,913,1.9
1075,2012,YAKIMA,12171,21,1,2129,0,0,246000,14322,5.82
1076,2013,YAKIMA,12880,37,1,2238,1,62,247250,15219,6.16
1077,2014,YAKIMA,12261,53,0,2102,7,37,248800,14460,5.81
1078,2015,YAKIMA,12943,48,0,2277,0,37,249970,15305,6.12
1079,2016,YAKIMA,13439,50,0,2051,1,19,250900,15560,6.2