,Year,County,Total Population,Total Crime,Classification,Orig_DF
0,2012,adams,19050,1743,Micropolitan,Violence + Murder
1,2013,adams,19200,1850,Micropolitan,Violence + Murder
2,2014,adams,19400,1850,Micropolitan,Violence + Murder
3,2015,adams,19410,1480,Micropolitan,Violence + Murder
4,2016,adams,19510,1250,Micropolitan,Violence + Murder
5,2012,asotin,21700,1251,Metropolitan,Violence + Murder
6,2013,asotin,21800,1368,Metropolitan,Violence + Murder
7,2014,asotin,21950,1225,Metropolitan,Violence + Murder
8,2015,asotin,22010,1379,Metropolitan,Violence + Murder
9,2016,asotin,22150,1376,Metropolitan,Violence + Murder
10,2012,benton,180000,10032,Metropolitan,Violence + Murder
11,2013,benton,183400,10099,Metropolitan,Violence + Murder
12,2014,benton,186500,9923,Metropolitan,Violence + Murder
13,2015,benton,188590,9712,Metropolitan,Violence + Murder
14,2016,benton,190500,9776,Metropolitan,Violence + Murder
15,2012,chelan,73200,1216,Metropolitan,Violence + Murder
16,2013,chelan,73600,3296,Metropolitan,Violence + Murder
17,2014,chelan,74300,2799,Metropolitan,Violence + Murder
18,2015,chelan,75030,3175,Metropolitan,Violence + Murder
19,2016,chelan,75910,3264,Metropolitan,Violence + Murder
20,2012,clallam,72000,4700,Micropolitan,Violence + Murder
21,2013,clallam,72350,4660,Micropolitan,Violence + Murder
22,2014,clallam,72500,4283,Micropolitan,Violence + Murder
23,2015,clallam,72650,4582,Micropolitan,Violence + Murder
24,2016,clallam,73410,3999,Micropolitan,Violence + Murder
25,2012,clark,431250,20558,Metropolitan,Violence + Murder
26,2013,clark,435500,18478,Metropolitan,Violence + Murder
27,2013,garfield,2250,138,Noncore,Violence + Murder
28,2014,clark,442800,17305,Metropolitan,Violence + Murder
29,2015,clark,451820,19632,Metropolitan,Violence + Murder
30,2016,clark,461010,19209,Metropolitan,Violence + Murder
31,2012,columbia,4100,256,Metropolitan,Violence + Murder
32,2013,columbia,4100,297,Metropolitan,Violence + Murder
33,2014,columbia,4080,127,Metropolitan,Violence + Murder
34,2015,columbia,4090,82,Metropolitan,Violence + Murder
35,2016,columbia,4050,203,Metropolitan,Violence + Murder
36,2012,cowlitz,103050,7398,Metropolitan,Violence + Murder
37,2013,cowlitz,103300,8040,Metropolitan,Violence + Murder
38,2014,cowlitz,103700,7117,Metropolitan,Violence + Murder
39,2015,cowlitz,104280,6626,Metropolitan,Violence + Murder
40,2016,cowlitz,104850,6691,Metropolitan,Violence + Murder
41,2012,douglas,38900,1459,Metropolitan,Violence + Murder
42,2013,douglas,39280,1555,Metropolitan,Violence + Murder
43,2014,douglas,39700,1478,Metropolitan,Violence + Murder
44,2015,douglas,39990,1602,Metropolitan,Violence + Murder
45,2016,douglas,40720,1563,Metropolitan,Violence + Murder
46,2012,garfield,2250,109,Noncore,Violence + Murder
47,2012,ferry,7650,109,Noncore,Violence + Murder
48,2013,ferry,7650,119,Noncore,Violence + Murder
49,2014,ferry,7660,130,Noncore,Violence + Murder
50,2015,ferry,7710,101,Noncore,Violence + Murder
51,2016,ferry,7700,21,Noncore,Violence + Murder
52,2012,franklin,82500,4418,Metropolitan,Violence + Murder
53,2013,franklin,84800,4441,Metropolitan,Violence + Murder
54,2014,franklin,86600,3981,Metropolitan,Violence + Murder
55,2015,franklin,87150,4076,Metropolitan,Violence + Murder
56,2016,franklin,88670,4288,Metropolitan,Violence + Murder
57,2014,garfield,2240,104,Noncore,Violence + Murder
58,2015,garfield,2260,140,Noncore,Violence + Murder
59,2016,garfield,2200,133,Noncore,Violence + Murder
60,2012,grant,91000,6720,Micropolitan,Violence + Murder
61,2013,grant,91800,7075,Micropolitan,Violence + Murder
62,2014,grant,92900,6699,Micropolitan,Violence + Murder
63,2015,grant,93930,6761,Micropolitan,Violence + Murder
64,2016,grant,94610,6614,Micropolitan,Violence + Murder
65,2012,grays harbor,73150,2875,Micropolitan,Violence + Murder
66,2013,grays harbor,73200,4098,Micropolitan,Violence + Murder
67,2014,grays harbor,73300,3882,Micropolitan,Violence + Murder
68,2015,grays harbor,73110,4210,Micropolitan,Violence + Murder
69,2016,grays harbor,72820,3782,Micropolitan,Violence + Murder
70,2012,island,79350,2987,Micropolitan,Violence + Murder
71,2013,island,79700,2725,Micropolitan,Violence + Murder
72,2014,island,80000,2359,Micropolitan,Violence + Murder
73,2015,island,80600,1824,Micropolitan,Violence + Murder
74,2016,island,82910,1935,Micropolitan,Violence + Murder
75,2012,jefferson,30175,1486,Noncore,Violence + Murder
76,2013,jefferson,30275,1353,Noncore,Violence + Murder
77,2014,jefferson,30700,1501,Noncore,Violence + Murder
78,2015,jefferson,30880,1168,Noncore,Violence + Murder
79,2016,jefferson,31090,1084,Noncore,Violence + Murder
80,2012,king,1957000,87516,Metropolitan,Violence + Murder
81,2013,king,1981900,103792,Metropolitan,Violence + Murder
82,2014,king,2017250,126410,Metropolitan,Violence + Murder
83,2015,king,2052800,129742,Metropolitan,Violence + Murder
84,2016,king,2105100,134489,Metropolitan,Violence + Murder
85,2012,kitsap,254500,14145,Metropolitan,Violence + Murder
86,2013,kitsap,254000,13699,Metropolitan,Violence + Murder
87,2014,kitsap,255900,13529,Metropolitan,Violence + Murder
88,2015,kitsap,258200,13282,Metropolitan,Violence + Murder
89,2016,kitsap,262590,13305,Metropolitan,Violence + Murder
90,2012,kittitas,41500,2718,Micropolitan,Violence + Murder
91,2013,kittitas,41900,2652,Micropolitan,Violence + Murder
92,2014,kittitas,42100,2352,Micropolitan,Violence + Murder
93,2015,kittitas,42670,2145,Micropolitan,Violence + Murder
94,2016,kittitas,43710,1995,Micropolitan,Violence + Murder
95,2012,klickitat,20600,662,Noncore,Violence + Murder
96,2013,klickitat,20700,679,Noncore,Violence + Murder
97,2014,klickitat,20850,581,Noncore,Violence + Murder
98,2015,klickitat,21000,744,Noncore,Violence + Murder
99,2016,klickitat,21270,547,Noncore,Violence + Murder
100,2012,lewis,76300,4064,Micropolitan,Violence + Murder
101,2013,lewis,76200,3684,Micropolitan,Violence + Murder
102,2014,lewis,76300,3923,Micropolitan,Violence + Murder
103,2015,lewis,76660,3924,Micropolitan,Violence + Murder
104,2016,lewis,76890,4246,Micropolitan,Violence + Murder
105,2012,lincoln,10675,374,Noncore,Violence + Murder
106,2013,lincoln,10675,290,Noncore,Violence + Murder
107,2014,lincoln,10700,302,Noncore,Violence + Murder
108,2015,lincoln,10720,312,Noncore,Violence + Murder
109,2016,lincoln,10640,320,Noncore,Violence + Murder
110,2012,mason,61450,4160,Micropolitan,Violence + Murder
111,2013,mason,61800,3493,Micropolitan,Violence + Murder
112,2014,mason,62000,3434,Micropolitan,Violence + Murder
113,2015,mason,62200,3147,Micropolitan,Violence + Murder
114,2016,mason,62320,2752,Micropolitan,Violence + Murder
115,2012,okanogan,41425,1601,Noncore,Violence + Murder
116,2013,okanogan,41500,1663,Noncore,Violence + Murder
117,2014,okanogan,41700,1546,Noncore,Violence + Murder
118,2015,okanogan,41860,1356,Noncore,Violence + Murder
119,2016,okanogan,41730,1155,Noncore,Violence + Murder
120,2012,pacific,20970,731,Noncore,Violence + Murder
121,2013,pacific,21000,793,Noncore,Violence + Murder
122,2014,pacific,21100,702,Noncore,Violence + Murder
123,2015,pacific,21210,582,Noncore,Violence + Murder
124,2016,pacific,21180,526,Noncore,Violence + Murder
125,2012,pend oreille,13100,919,Metropolitan,Violence + Murder
126,2013,pend oreille,13150,951,Metropolitan,Violence + Murder
127,2014,pend oreille,13210,764,Metropolitan,Violence + Murder
128,2015,pend oreille,13240,631,Metropolitan,Violence + Murder
129,2016,pend oreille,13290,548,Metropolitan,Violence + Murder
130,2012,pierce,808200,65730,Metropolitan,Violence + Murder
131,2013,pierce,814500,66569,Metropolitan,Violence + Murder
132,2014,pierce,821300,64018,Metropolitan,Violence + Murder
133,2015,pierce,830120,64036,Metropolitan,Violence + Murder
134,2016,pierce,844490,67397,Metropolitan,Violence + Murder
135,2012,san juan,15925,365,Noncore,Violence + Murder
136,2013,san juan,16000,350,Noncore,Violence + Murder
137,2014,san juan,16100,261,Noncore,Violence + Murder
138,2015,san juan,16180,345,Noncore,Violence + Murder
139,2016,san juan,16320,309,Noncore,Violence + Murder
140,2012,skagit,117950,9428,Metropolitan,Violence + Murder
141,2013,skagit,118600,9433,Metropolitan,Violence + Murder
142,2014,skagit,119500,8305,Metropolitan,Violence + Murder
143,2015,skagit,120620,9301,Metropolitan,Violence + Murder
144,2016,skagit,122270,8578,Metropolitan,Violence + Murder
145,2012,skamania,11275,298,Metropolitan,Violence + Murder
146,2013,skamania,11300,278,Metropolitan,Violence + Murder
147,2014,skamania,11370,256,Metropolitan,Violence + Murder
148,2015,skamania,11430,236,Metropolitan,Violence + Murder
149,2016,skamania,11500,171,Metropolitan,Violence + Murder
150,2012,snohomish,722900,3392,Metropolitan,Violence + Murder
151,2013,snohomish,730500,4994,Metropolitan,Violence + Murder
152,2014,snohomish,741000,5657,Metropolitan,Violence + Murder
153,2015,snohomish,757600,11335,Metropolitan,Violence + Murder
154,2016,snohomish,772860,41566,Metropolitan,Violence + Murder
155,2012,spokane,475600,1548,Metropolitan,Violence + Murder
156,2013,spokane,480000,1510,Metropolitan,Violence + Murder
157,2014,spokane,484500,1546,Metropolitan,Violence + Murder
158,2015,spokane,488310,1579,Metropolitan,Violence + Murder
159,2016,spokane,492530,18489,Metropolitan,Violence + Murder
160,2012,state,6817770,301233,,Violence + Murder
161,2013,state,6882400,324057,,Violence + Murder
162,2014,state,6968170,349880,,Violence + Murder
163,2015,state,7061410,362040,,Violence + Murder
164,2016,state,7183700,415368,,Violence + Murder
165,2012,stevens,43700,1802,Metropolitan,Violence + Murder
166,2013,stevens,43800,1615,Metropolitan,Violence + Murder
167,2014,stevens,43900,1751,Metropolitan,Violence + Murder
168,2015,stevens,44030,1707,Metropolitan,Violence + Murder
169,2016,stevens,44100,1476,Metropolitan,Violence + Murder
170,2012,thurston,256800,5726,Metropolitan,Violence + Murder
171,2013,thurston,260100,5255,Metropolitan,Violence + Murder
172,2014,thurston,264000,13956,Metropolitan,Violence + Murder
173,2015,thurston,267410,15033,Metropolitan,Violence + Murder
174,2016,thurston,272690,15326,Metropolitan,Violence + Murder
175,2012,wahkiakum,4025,50,Noncore,Violence + Murder
176,2013,wahkiakum,4020,60,Noncore,Violence + Murder
177,2014,wahkiakum,4010,100,Noncore,Violence + Murder
178,2015,wahkiakum,3980,142,Noncore,Violence + Murder
179,2016,wahkiakum,4000,131,Noncore,Violence + Murder
180,2012,walla walla,59100,1199,Metropolitan,Violence + Murder
181,2013,walla walla,59500,3876,Metropolitan,Violence + Murder
182,2014,walla walla,60150,3949,Metropolitan,Violence + Murder
183,2015,walla walla,60650,3947,Metropolitan,Violence + Murder
184,2016,walla walla,60730,4038,Metropolitan,Violence + Murder
185,2012,whatcom,203500,10075,Metropolitan,Violence + Murder
186,2013,whatcom,205800,10065,Metropolitan,Violence + Murder
187,2014,whatcom,207600,13503,Metropolitan,Violence + Murder
188,2015,whatcom,209790,12456,Metropolitan,Violence + Murder
189,2016,whatcom,212540,13194,Metropolitan,Violence + Murder
190,2012,whitman,45950,1827,Micropolitan,Violence + Murder
191,2013,whitman,46000,1563,Micropolitan,Violence + Murder
192,2014,whitman,46500,1760,Micropolitan,Violence + Murder
193,2015,whitman,47250,1497,Micropolitan,Violence + Murder
194,2016,whitman,47940,1157,Micropolitan,Violence + Murder
195,2012,yakima,246000,15586,Metropolitan,Violence + Murder
196,2013,yakima,247250,17201,Metropolitan,Violence + Murder
197,2014,yakima,248800,16512,Metropolitan,Violence + Murder
198,2015,yakima,249970,18011,Metropolitan,Violence + Murder
199,2016,yakima,250900,18465,Metropolitan,Violence + Murder
0,2012,adams,19050,697,Micropolitan,Robbery
1,2013,adams,19200,724,Micropolitan,Robbery
2,2014,adams,19400,703,Micropolitan,Robbery
3,2015,adams,19410,634,Micropolitan,Robbery
4,2016,adams,19510,499,Micropolitan,Robbery
5,2012,asotin,21700,662,Metropolitan,Robbery
6,2013,asotin,21800,725,Metropolitan,Robbery
7,2014,asotin,21950,568,Metropolitan,Robbery
8,2015,asotin,22010,759,Metropolitan,Robbery
9,2016,asotin,22150,721,Metropolitan,Robbery
10,2012,benton,180000,4455,Metropolitan,Robbery
11,2013,benton,183400,4778,Metropolitan,Robbery
12,2014,benton,186500,4808,Metropolitan,Robbery
13,2015,benton,188590,4641,Metropolitan,Robbery
14,2016,benton,190500,4844,Metropolitan,Robbery
15,2012,chelan,73200,482,Metropolitan,Robbery
16,2013,chelan,73600,1714,Metropolitan,Robbery
17,2014,chelan,74300,1454,Metropolitan,Robbery
18,2015,chelan,75030,1648,Metropolitan,Robbery
19,2016,chelan,75910,1726,Metropolitan,Robbery
20,2012,clallam,72000,1988,Micropolitan,Robbery
21,2013,clallam,72350,2098,Micropolitan,Robbery
22,2014,clallam,72500,1924,Micropolitan,Robbery
23,2015,clallam,72650,2124,Micropolitan,Robbery
24,2016,clallam,73410,1738,Micropolitan,Robbery
25,2012,clark,431250,10048,Metropolitan,Robbery
26,2013,clark,435500,9358,Metropolitan,Robbery
27,2013,garfield,2250,52,Noncore,Robbery
28,2014,clark,442800,8578,Metropolitan,Robbery
29,2015,clark,451820,10446,Metropolitan,Robbery
30,2016,clark,461010,9929,Metropolitan,Robbery
31,2012,columbia,4100,120,Metropolitan,Robbery
32,2013,columbia,4100,166,Metropolitan,Robbery
33,2014,columbia,4080,89,Metropolitan,Robbery
34,2015,columbia,4090,51,Metropolitan,Robbery
35,2016,columbia,4050,116,Metropolitan,Robbery
36,2012,cowlitz,103050,3449,Metropolitan,Robbery
37,2013,cowlitz,103300,3797,Metropolitan,Robbery
38,2014,cowlitz,103700,3598,Metropolitan,Robbery
39,2015,cowlitz,104280,3255,Metropolitan,Robbery
40,2016,cowlitz,104850,3390,Metropolitan,Robbery
41,2012,douglas,38900,693,Metropolitan,Robbery
42,2013,douglas,39280,833,Metropolitan,Robbery
43,2014,douglas,39700,795,Metropolitan,Robbery
44,2015,douglas,39990,765,Metropolitan,Robbery
45,2016,douglas,40720,828,Metropolitan,Robbery
46,2012,garfield,2250,42,Noncore,Robbery
47,2012,ferry,7650,36,Noncore,Robbery
48,2013,ferry,7650,35,Noncore,Robbery
49,2014,ferry,7660,29,Noncore,Robbery
50,2015,ferry,7710,21,Noncore,Robbery
51,2016,ferry,7700,4,Noncore,Robbery
52,2012,franklin,82500,1858,Metropolitan,Robbery
53,2013,franklin,84800,1857,Metropolitan,Robbery
54,2014,franklin,86600,1747,Metropolitan,Robbery
55,2015,franklin,87150,1713,Metropolitan,Robbery
56,2016,franklin,88670,1921,Metropolitan,Robbery
57,2014,garfield,2240,30,Noncore,Robbery
58,2015,garfield,2260,40,Noncore,Robbery
59,2016,garfield,2200,34,Noncore,Robbery
60,2012,grant,91000,3073,Micropolitan,Robbery
61,2013,grant,91800,3470,Micropolitan,Robbery
62,2014,grant,92900,3174,Micropolitan,Robbery
63,2015,grant,93930,3263,Micropolitan,Robbery
64,2016,grant,94610,3172,Micropolitan,Robbery
65,2012,grays harbor,73150,1363,Micropolitan,Robbery
66,2013,grays harbor,73200,1925,Micropolitan,Robbery
67,2014,grays harbor,73300,1699,Micropolitan,Robbery
68,2015,grays harbor,73110,1703,Micropolitan,Robbery
69,2016,grays harbor,72820,1583,Micropolitan,Robbery
70,2012,island,79350,1250,Micropolitan,Robbery
71,2013,island,79700,1163,Micropolitan,Robbery
72,2014,island,80000,977,Micropolitan,Robbery
73,2015,island,80600,776,Micropolitan,Robbery
74,2016,island,82910,773,Micropolitan,Robbery
75,2012,jefferson,30175,627,Noncore,Robbery
76,2013,jefferson,30275,606,Noncore,Robbery
77,2014,jefferson,30700,642,Noncore,Robbery
78,2015,jefferson,30880,465,Noncore,Robbery
79,2016,jefferson,31090,475,Noncore,Robbery
80,2012,king,1957000,49162,Metropolitan,Robbery
81,2013,king,1981900,60869,Metropolitan,Robbery
82,2014,king,2017250,77891,Metropolitan,Robbery
83,2015,king,2052800,76241,Metropolitan,Robbery
84,2016,king,2105100,80206,Metropolitan,Robbery
85,2012,kitsap,254500,7218,Metropolitan,Robbery
86,2013,kitsap,254000,6725,Metropolitan,Robbery
87,2014,kitsap,255900,6923,Metropolitan,Robbery
88,2015,kitsap,258200,6603,Metropolitan,Robbery
89,2016,kitsap,262590,6650,Metropolitan,Robbery
90,2012,kittitas,41500,1345,Micropolitan,Robbery
91,2013,kittitas,41900,1132,Micropolitan,Robbery
92,2014,kittitas,42100,1066,Micropolitan,Robbery
93,2015,kittitas,42670,927,Micropolitan,Robbery
94,2016,kittitas,43710,975,Micropolitan,Robbery
95,2012,klickitat,20600,252,Noncore,Robbery
96,2013,klickitat,20700,251,Noncore,Robbery
97,2014,klickitat,20850,229,Noncore,Robbery
98,2015,klickitat,21000,295,Noncore,Robbery
99,2016,klickitat,21270,202,Noncore,Robbery
100,2012,lewis,76300,1738,Micropolitan,Robbery
101,2013,lewis,76200,1593,Micropolitan,Robbery
102,2014,lewis,76300,1783,Micropolitan,Robbery
103,2015,lewis,76660,1759,Micropolitan,Robbery
104,2016,lewis,76890,2060,Micropolitan,Robbery
105,2012,lincoln,10675,154,Noncore,Robbery
106,2013,lincoln,10675,120,Noncore,Robbery
107,2014,lincoln,10700,131,Noncore,Robbery
108,2015,lincoln,10720,142,Noncore,Robbery
109,2016,lincoln,10640,133,Noncore,Robbery
110,2012,mason,61450,2005,Micropolitan,Robbery
111,2013,mason,61800,1631,Micropolitan,Robbery
112,2014,mason,62000,1666,Micropolitan,Robbery
113,2015,mason,62200,1582,Micropolitan,Robbery
114,2016,mason,62320,1442,Micropolitan,Robbery
115,2012,okanogan,41425,591,Noncore,Robbery
116,2013,okanogan,41500,760,Noncore,Robbery
117,2014,okanogan,41700,664,Noncore,Robbery
118,2015,okanogan,41860,598,Noncore,Robbery
119,2016,okanogan,41730,476,Noncore,Robbery
120,2012,pacific,20970,274,Noncore,Robbery
121,2013,pacific,21000,280,Noncore,Robbery
122,2014,pacific,21100,283,Noncore,Robbery
123,2015,pacific,21210,220,Noncore,Robbery
124,2016,pacific,21180,221,Noncore,Robbery
125,2012,pend oreille,13100,353,Metropolitan,Robbery
126,2013,pend oreille,13150,365,Metropolitan,Robbery
127,2014,pend oreille,13210,285,Metropolitan,Robbery
128,2015,pend oreille,13240,227,Metropolitan,Robbery
129,2016,pend oreille,13290,228,Metropolitan,Robbery
130,2012,pierce,808200,30681,Metropolitan,Robbery
131,2013,pierce,814500,32514,Metropolitan,Robbery
132,2014,pierce,821300,31451,Metropolitan,Robbery
133,2015,pierce,830120,31609,Metropolitan,Robbery
134,2016,pierce,844490,34104,Metropolitan,Robbery
135,2012,san juan,15925,160,Noncore,Robbery
136,2013,san juan,16000,165,Noncore,Robbery
137,2014,san juan,16100,140,Noncore,Robbery
138,2015,san juan,16180,192,Noncore,Robbery
139,2016,san juan,16320,173,Noncore,Robbery
140,2012,skagit,117950,4253,Metropolitan,Robbery
141,2013,skagit,118600,4703,Metropolitan,Robbery
142,2014,skagit,119500,4102,Metropolitan,Robbery
143,2015,skagit,120620,4484,Metropolitan,Robbery
144,2016,skagit,122270,4187,Metropolitan,Robbery
145,2012,skamania,11275,85,Metropolitan,Robbery
146,2013,skamania,11300,81,Metropolitan,Robbery
147,2014,skamania,11370,97,Metropolitan,Robbery
148,2015,skamania,11430,107,Metropolitan,Robbery
149,2016,skamania,11500,53,Metropolitan,Robbery
150,2012,snohomish,722900,1714,Metropolitan,Robbery
151,2013,snohomish,730500,2739,Metropolitan,Robbery
152,2014,snohomish,741000,3517,Metropolitan,Robbery
153,2015,snohomish,757600,6547,Metropolitan,Robbery
154,2016,snohomish,772860,22561,Metropolitan,Robbery
155,2012,spokane,475600,779,Metropolitan,Robbery
156,2013,spokane,480000,721,Metropolitan,Robbery
157,2014,spokane,484500,755,Metropolitan,Robbery
158,2015,spokane,488310,778,Metropolitan,Robbery
159,2016,spokane,492530,8892,Metropolitan,Robbery
160,2012,state,6817770,148982,,Robbery
161,2013,state,6882400,166443,,Robbery
162,2014,state,6968170,186992,,Robbery
163,2015,state,7061410,190404,,Robbery
164,2016,state,7183700,220813,,Robbery
165,2012,stevens,43700,665,Metropolitan,Robbery
166,2013,stevens,43800,593,Metropolitan,Robbery
167,2014,stevens,43900,628,Metropolitan,Robbery
