County,2015,2016,2017
Adams,19410,19510,19870
Asotin,22010,22150,22290
Benton,188590,190500,193500
Chelan,75030,75910,76830
Clallam,72650,73410,74240
Clark,451820,461010,471000
Columbia,4090,4050,4100
Cowlitz,104280,104850,105900
Douglas,39990,40720,41420
Ferry,7710,7700,7740
Franklin,87150,88670,90330
Garfield,2260,2200,2200
Grant,93930,94610,95630
Grays Harbor,73110,72820,72970
Island,80600,82910,82790
Jefferson,30880,31090,31360
King,2052800,2105100,2153700
Kitsap,258200,262590,264300
Kittitas,42670,43710,44730
Klickitat,21000,21270,21660
Lewis,76660,76890,77440
Lincoln,10720,10640,10700
Mason,62200,62320,63190
Okanogan,41860,41730,42110
Pacific,21210,21180,21250
Pend Oreille,13240,13290,13370
Pierce,830120,844490,859400
San Juan,16180,16320,16510
Skagit,120620,122270,124100
Skamania,11430,11500,11690
Snohomish,757600,772860,789400
Spokane,488310,492530,499800
Stevens,44030,44100,44510
Thurston,267410,272690,276900
Wahkiakum,3980,4000,4030
Walla Walla,60650,60730,61400
Whatcom,209790,212540,216300
Whitman,47250,47940,48640
Yakima,249970,250900,253000