County,"2013 Metropolitan, Micropolitan, Noncore (OMB)","April 1, 2014 Population (OFM)"
Adams,Micropolitan,19400
Asotin,Metropolitan,21950
Benton,Metropolitan,186500
Chelan,Metropolitan,74300
Clallam,Micropolitan,72500
Clark,Metropolitan,442800
Columbia,Metropolitan,4080
Cowlitz,Metropolitan,103700
Douglas,Metropolitan,39700
Ferry,Noncore,7660
Franklin,Metropolitan,86600
Garfield,Noncore,2240
Grant,Micropolitan,92900
Grays Harbor,Micropolitan,73300
Island,Micropolitan,80000
Jefferson,Noncore,30700
King,Metropolitan,2017250
Kitsap,Metropolitan,255900
Kittitas,Micropolitan,42100
Klickitat,Noncore,20850
Lewis,Micropolitan,76300
Lincoln,Noncore,10700
Mason,Micropolitan,62000
Okanogan,Noncore,41700
Pacific,Noncore,21100
Pend Oreille,Metropolitan,13210
Pierce,Metropolitan,821300
San Juan,Noncore,16100
Skagit,Metropolitan,119500
Skamania,Metropolitan,11370
Snohomish,Metropolitan,741000
Spokane,Metropolitan,484500
Stevens,Metropolitan,43900
Thurston,Metropolitan,264000
Wahkiakum,Noncore,4010
Walla Walla,Metropolitan,60150
Whatcom,Metropolitan,207600
Whitman,Micropolitan,46500
Yakima,Metropolitan,248850